"Response ID";"Date submitted";"Last page";"Start language";"Seed";"Date started";"Date last action";"IP address";"Referrer URL";"Who are you?  (Multiple options can be selected)  [LTS user]";"Who are you?  (Multiple options can be selected)  [LTS contributor/developer]";"Who are you?  (Multiple options can be selected)  [LTS sponsor]";"Who are you?  (Multiple options can be selected)  [Debian developer (project member)]";"Who are you?  (Multiple options can be selected)  [Debian FTP team member]";"Who are you?  (Multiple options can be selected)  [Debian security team member]";"Who are you?  (Multiple options can be selected)  [Debian release team member]";"Who are you?  (Multiple options can be selected)  [Debian www team member]";"Who are you?  (Multiple options can be selected)  [Debian System Administrator (DSA)]";"Who are you?  (Multiple options can be selected)  [Debian Buildd Admin]";"Who are you?  (Multiple options can be selected)  [Other]";"How long have you been using Debian?";"How long have you been using LTS?";"Are you using Extended LTS (ELTS)?";"Why do you use LTS?     Please skip this and the next five questions if you are not using LTS and continue with question 11. ";"On a scale of 1 (= very unhappy) to 10 (= very happy) how happy are you with the quality of the LTS updates? [Array]";"On a scale of 1 (= very unhappy) to 10 (= very happy), how happy are you with the how quickly LTS updates reach you? [Array]";"How would you feel if you could no longer use Debian LTS?";"Where do you use Debian LTS? [At home.]";"Where do you use Debian LTS? [At work.]";"Where do you use Debian LTS? [In another organization.]";"If you use LTS at work or in an organization, how big is that organization?";"Questions for everyone again:On a scale from 1 (= very unhappy) to 10 (= very happy), if your Debian duties led you to interact with LTS contributors, how would you rate the interaction with said contributors? [Array]";"Do you see problems with/about Debian LTS and if so, which?";"What suggestions/wishes do you have for Debian LTS?";"How likely is it that you would recommend Debian LTS to a friend or colleague? (1 = very unlikely, 10 = very likely) [Array]";"Total time";"Group time: Debian LTS Survey";"Question time: G01Q001";"Question time: G01Q17";"Question time: G01Q16";"Question time: G00Q13";"Question time: G01Q05";"Question time: G01Q06";"Question time: G01Q07";"Question time: G01Q13";"Question time: G01Q18";"Question time: G01Q19";"Question time: G01Q09";"Question time: G01Q10";"Question time: G01Q11";"Question time: G01Q12"
"22";"";"";"en";"1292000349";"2020-07-13 13:15:07";"2020-07-13 13:15:07";"93.22.150.62";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"";"";"en";"520591085";"2020-07-13 13:16:15";"2020-07-13 13:16:15";"193.252.5.212";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"2020-07-13 13:22:01";"1";"en";"320202210";"2020-07-13 13:17:40";"2020-07-13 13:22:01";"77.57.48.200";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"1-5 years";"< 1 year";"No.";"It is very very stable";"9";"10";"Somewhat disappointed.";"Yes";"No";"No";"";"10";"When I want to have a new software on it, I have to choose flatpaks.";"Keep doing! You are doing great work!";"9";"523.76";"523.76";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"";"";"en";"1515285506";"2020-07-13 13:17:59";"2020-07-13 13:17:59";"82.150.194.110";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"";"";"en";"456276507";"2020-07-13 13:18:02";"2020-07-13 13:18:02";"208.127.147.205";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"2020-07-13 13:22:27";"1";"en";"2098055439";"2020-07-13 13:18:31";"2020-07-13 13:22:27";"86.247.114.107";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"10-20 years";"1-3 years";"No.";"";"9";"8";"Very disappointed.";"No";"Yes";"Yes";"101-1000 people";"";"";"";"8";"472.9";"472.9";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"";"";"en";"1206421619";"2020-07-13 13:18:41";"2020-07-13 13:18:41";"203.88.145.175";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"";"";"en";"53344962";"2020-07-13 13:18:58";"2020-07-13 13:18:58";"27.63.12.60";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"2020-07-13 13:20:46";"1";"en";"1997112869";"2020-07-13 13:19:10";"2020-07-13 13:20:46";"88.230.159.208";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"5-10 years";"1-3 years";"No.";"To get more stable";"10";"10";"Somewhat disappointed.";"Yes";"Yes";"No";"11-100 people";"";"";"";"10";"193.19";"193.19";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"2020-07-13 13:23:49";"1";"en";"1000889181";"2020-07-13 13:19:12";"2020-07-13 13:23:49";"78.239.52.31";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"5-10 years";"4-6 years";"No and I don't know what ELTS is.";"";"9";"7";"Very disappointed.";"Yes";"Yes";"No";"11-100 people";"";"";"Continue like that, the effort is very appreciated!";"10";"462.6";"462.6";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"2020-07-13 13:22:58";"1";"en";"457044551";"2020-07-13 13:19:20";"2020-07-13 13:22:58";"80.100.42.127";"";"Yes";"No";"No";"Yes";"No";"Yes";"No";"No";"No";"No";"";"10-20 years";"4-6 years";"Yes.";"Legacy systems which function fine and have no new requirement, there's no good reason to upgrade if we can avoid it. When we know a system will be decomissioned within the LTS timeframe.";"9";"8";"Somewhat disappointed.";"No";"Yes";"No";"101-1000 people";"9";"Debian website does not have one clear overview of release support timelines, e.g. on debian.org/releases. Need to click throug to wiki pages etc.";"";"10";"436.97";"436.97";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"2020-07-13 13:20:32";"1";"en";"649822864";"2020-07-13 13:19:28";"2020-07-13 13:20:32";"223.186.0.102";"";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"Debian buster 10";"< 1 year";"I'm not using LTS.";"No.";"";"";"";"";"No";"No";"No";"";"";"";"";"";"128.4";"128.4";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"";"";"en";"1884415833";"2020-07-13 13:20:15";"2020-07-13 13:20:15";"82.132.229.107";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"2020-07-13 13:24:32";"1";"en";"281217299";"2020-07-13 13:20:28";"2020-07-13 13:24:32";"82.28.201.145";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"10-20 years";"4-6 years";"No and I don't know what ELTS is.";"To feel safe on production environment and not to risk it with version upgrades";"9";"8";"Somewhat disappointed.";"No";"Yes";"No";"11-100 people";"";"";"";"8";"489.32";"489.32";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"2020-07-13 13:23:49";"1";"en";"1268262460";"2020-07-13 13:20:47";"2020-07-13 13:23:49";"217.121.51.147";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"> 20 years";"4-6 years";"No.";"I didn't have time to update my servers to Buster yet.";"8";"7";"Somewhat disappointed.";"Yes";"Yes";"No";"2-10 people";"";"I need to use Backports to stay up to date a little bit more. It took some time to find out.";"Keep up the good work.";"9";"364.63";"364.63";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"2020-07-13 13:23:27";"1";"en";"1916638197";"2020-07-13 13:21:58";"2020-07-13 13:23:27";"188.167.109.3";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"10-20 years";"4-6 years";"No and I don't know what ELTS is.";"";"8";"8";"Very disappointed.";"Yes";"Yes";"No";"11-100 people";"";"";"";"9";"179.36";"179.36";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"";"";"en";"922554504";"2020-07-13 13:22:22";"2020-07-13 13:22:22";"81.237.206.224";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"";"";"en";"1487575551";"2020-07-13 13:22:24";"2020-07-13 13:22:24";"95.79.125.233";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"2020-07-13 13:25:01";"1";"en";"202607236";"2020-07-13 13:22:34";"2020-07-13 13:25:01";"180.150.76.123";"";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"5-10 years";"I'm not using LTS.";"No.";"";"";"";"";"No";"No";"No";"";"";"";"";"";"294.13";"294.13";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"2020-07-13 13:25:03";"1";"en";"2118118347";"2020-07-13 13:22:58";"2020-07-13 13:25:03";"93.34.138.28";"";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"Debian packages maintainer";"10-20 years";"I'm not using LTS.";"No.";"";"";"";"";"No";"No";"No";"";"8";"";"";"5";"251.5";"251.5";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"2020-07-13 13:26:06";"1";"en";"1849241898";"2020-07-13 13:23:05";"2020-07-13 13:26:05";"109.228.140.150";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"10-20 years";"4-6 years";"No.";"For platform stability. ";"10";"9";"Somewhat disappointed.";"Yes";"Yes";"No";"101-1000 people";"";"";"";"9";"361.87";"361.87";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"";"";"en";"511239015";"2020-07-13 13:24:17";"2020-07-13 13:24:17";"77.185.149.181";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"";"";"en";"306607894";"2020-07-13 13:24:54";"2020-07-13 13:24:54";"37.24.116.226";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"2020-07-13 13:35:50";"1";"en";"2140184911";"2020-07-13 13:25:10";"2020-07-13 13:35:50";"73.219.137.147";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"10-20 years";"1-3 years";"No and I don't know what ELTS is.";"I'm still using Stretch on my employer-provided laptop, mostly because of inertia. Stretch works very well on this machine (Dell Latitude E6530) and I haven't had any problems ever since I installed Stretch a few weeks after its official release. I'm trying to avoid spending the time upgrading to Buster because i'm expecting to be provided with a new laptop (the #6530 is more than 6 years old, I think) and would have to go through the process again.

As far as I know I'm the only Debian user in my organization, so I can't rely on our IT department for support. The utter reliability of Stretch/LTS is essential to me being able to keep using Debian at work.

On my various home machines I've updated to Buster a long time ago. I've started using Fedora on my newest laptops because I need newer kernels than available in Stable, fractional DPI scaling is supported there, and my experiences with Testing and Unstable have been mixed. Look forward to migrating back to Debian with the next Stable release, though

";"10";"10";"Somewhat disappointed.";"No";"Yes";"No";"101-1000 people";"";"There's a tool that tells me what packages are supported for security updates but it's not quite in my face enough. ";"";"8";"1281.04";"1281.04";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"46";"";"";"en";"796966147";"2020-07-13 13:25:42";"2020-07-13 13:25:42";"201.95.56.66";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"47";"2020-07-13 13:39:34";"1";"en";"1696541041";"2020-07-13 13:25:49";"2020-07-13 13:39:34";"90.31.17.93";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"10-20 years";"1-3 years";"No.";"To do not have to full upgrade system of old machine";"8";"8";"Somewhat disappointed.";"Yes";"Yes";"No";"1 person";"";"";"";"9";"1650.65";"1650.65";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"48";"2020-07-13 13:28:49";"1";"en";"1807860502";"2020-07-13 13:26:09";"2020-07-13 13:28:49";"193.209.237.39";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"10-20 years";"4-6 years";"No and I don't know what ELTS is.";"Some packages have been dropped from debian stable so upgrading is not possible at the moment.";"7";"7";"Somewhat disappointed.";"No";"Yes";"No";"101-1000 people";"7";"Most users don't even know it exists.";"";"7";"320.34";"320.34";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"49";"";"";"en";"1963380397";"2020-07-13 13:26:24";"2020-07-13 13:26:24";"133.27.156.65";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"50";"";"";"en";"1343249863";"2020-07-13 13:26:25";"2020-07-13 13:26:25";"94.190.115.108";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"51";"";"";"en";"73699909";"2020-07-13 13:26:49";"2020-07-13 13:26:49";"45.162.228.190";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"52";"2020-07-13 13:29:47";"1";"en";"394703815";"2020-07-13 13:27:00";"2020-07-13 13:29:47";"95.90.254.236";"";"Yes";"Yes";"No";"Yes";"No";"No";"No";"No";"No";"No";"";"> 20 years";"4-6 years";"Yes.";"Because not all systems can be upgraded to a newer release when security support stops.";"8";"9";"Very disappointed.";"Yes";"Yes";"No";"2-10 people";"8";"Paying some people and not others introduces room for friction.";"stay healthy!";"10";"335.21";"335.21";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"53";"2020-07-13 13:30:30";"1";"en";"1435306364";"2020-07-13 13:27:16";"2020-07-13 13:30:30";"68.100.26.146";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"> 20 years";"4-6 years";"No.";"Longer upgrade cycle for servers.";"8";"8";"Somewhat disappointed.";"Yes";"Yes";"No";"11-100 people";"";"";"";"8";"388.36";"388.36";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"54";"";"0";"en";"925608482";"2020-07-13 13:27:43";"2020-07-13 13:27:54";"37.201.196.139";"";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"";"";"";"";"";"";"";"No";"No";"No";"";"";"";"";"";"8.28";"8.28";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"55";"2020-07-13 13:31:23";"1";"en";"1267107089";"2020-07-13 13:27:44";"2020-07-13 13:31:23";"91.66.13.63";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"10-20 years";"4-6 years";"No and I don't know what ELTS is.";"To avoid inconsistencies of the software used with the OS.";"9";"9";"Not disappointed at all.";"No";"No";"Yes";"2-10 people";"";"";"";"9";"436.86";"436.86";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"56";"";"";"en";"1313534270";"2020-07-13 13:29:07";"2020-07-13 13:29:07";"174.127.173.196";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"57";"";"";"en";"564911667";"2020-07-13 13:29:56";"2020-07-13 13:29:56";"109.40.130.30";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"58";"";"";"en";"944345585";"2020-07-13 13:30:10";"2020-07-13 13:30:10";"46.235.230.124";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"59";"";"";"en";"1223421539";"2020-07-13 13:30:10";"2020-07-13 13:30:10";"37.228.249.101";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"60";"";"";"en";"551654661";"2020-07-13 13:30:41";"2020-07-13 13:30:41";"212.66.214.2";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"61";"";"";"en";"408000240";"2020-07-13 13:31:28";"2020-07-13 13:31:28";"24.179.156.173";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"62";"2020-07-13 13:34:18";"1";"en";"1324012474";"2020-07-13 13:31:35";"2020-07-13 13:34:18";"91.51.61.117";"";"Yes";"No";"No";"Yes";"No";"No";"No";"No";"No";"No";"";"10-20 years";"4-6 years";"No.";"Too much work to update some machines and LTS gives an acceptable security trade-off.";"9";"8";"Somewhat disappointed.";"Yes";"No";"No";"";"";"Funding and the overall effort seem precarious and there's not a lot of confidence in long-term viability.";"";"9";"327.44";"327.44";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"63";"2020-07-13 13:35:01";"1";"en";"297778260";"2020-07-13 13:32:04";"2020-07-13 13:35:01";"86.210.20.74";"";"Yes";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"";"1-5 years";"4-6 years";"";"IS STABLE !";"10";"10";"";"Yes";"Yes";"No";"11-100 people";"10";"no";"no";"10";"352.43";"352.43";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"64";"2020-07-13 13:35:15";"1";"en";"1809176725";"2020-07-13 13:32:17";"2020-07-13 13:35:15";"80.67.188.109";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"10-20 years";"1-3 years";"No and I don't know what ELTS is.";"Some web services I provide can't be used on the last Debian.";"10";"10";"Very disappointed.";"No";"Yes";"No";"11-100 people";"";"";"";"10";"356.23";"356.23";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"65";"";"";"en";"471351296";"2020-07-13 13:33:59";"2020-07-13 13:33:59";"83.38.57.67";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"66";"";"";"en";"1785477608";"2020-07-13 13:34:13";"2020-07-13 13:34:13";"185.25.250.72";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"67";"";"";"en";"1667852659";"2020-07-13 13:34:18";"2020-07-13 13:34:18";"80.60.243.50";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"68";"2020-07-13 13:36:42";"1";"en";"776935563";"2020-07-13 13:34:58";"2020-07-13 13:36:42";"70.30.104.51";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"5-10 years";"4-6 years";"Yes.";"";"5";"7";"Very disappointed.";"Yes";"No";"No";"";"";"Too short";"";"5";"208.05";"208.05";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"69";"";"";"en";"1830371588";"2020-07-13 13:35:22";"2020-07-13 13:35:22";"66.169.171.115";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
